epoch,F1,balanced_accuracy
0,0.7408872562870867,0.8098005989911727
1,0.7851066796820527,0.8430994937587952
2,0.7620715536652489,0.8373802931447265
3,0.7635230812800906,0.8258760702798034
4,0.7462512738389867,0.811184281164903
5,0.7642365887207703,0.8292344015571029
6,0.7551020408163265,0.8147524992232762
7,0.76554886787045,0.8261704115037374
8,0.7649755953261352,0.8227782413372444
9,0.7727654805267582,0.8336194647001847
10,0.7738043946574752,0.8318089413482099
11,0.7833034853285576,0.8431591758502842
12,0.7854595336076817,0.8452418381170386
13,0.7827057182705718,0.8413330180748213
14,0.7848713209156832,0.840750118221942
15,0.7821698906644239,0.8403841013761719
16,0.7844278193405375,0.8433440047197398
17,0.7848241484353364,0.8436980280351627
18,0.7875661734763133,0.8480398288009211
19,0.7853970016657412,0.8438337405422447
20,0.7860419852634506,0.8441313657090119
21,0.7873904438789935,0.8432093630635817
22,0.7859737356803577,0.8435251926960543
23,0.7873602870153167,0.8459615213279237
24,0.7873303167420814,0.8431340465486046
best F1(epoch-18),0.7875661734763133,0.8480398288009211
best balanced_accuracy(epoch-18),0.7875661734763133,0.8480398288009211
